화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
10877,11,202606,11812,40415,1017,386,2157,161,92,강화군,376,3291,44082,인천,53,774,1338,151,28238,30546,283,268
15665,17,202606,18676,113044,2763,696,91255,113,333,계양구,300,95907,209251,인천,59,2898,4243,111,94270,185636,346,1421
27145,29,202606,30971,254413,4329,1124,21148,164,490,남동구,1021,26052,281486,인천,454,3662,5535,374,222334,243856,605,752
3272,2,202606,4634,24449,771,425,866,31,323,동구,109,2593,27151,인천,34,1331,878,42,20306,21214,100,73
16649,19,202606,22174,164632,3601,1339,12108,135,852,미추홀구,440,18416,183488,인천,91,5390,3758,195,143914,156217,468,66
18900,9,202606,22141,211636,3782,755,19130,101,291,부평구,333,23449,235418,인천,80,3140,4750,143,188499,207772,455,888
33664,32,202606,40529,322867,5604,1667,6384,194,787,서구,563,15324,338754,인천,104,6671,7190,233,282751,289368,848,1482
12343,12,202606,16181,232674,2813,1008,5555,139,547,연수구,406,10566,243646,인천,90,3699,3668,165,217069,222789,449,765
16153,3,202606,16337,34065,602,168,64218,126,14,옹진군,255,65298,99618,인천,51,58,1661,75,17159,81452,151,1008
8467,18,202606,16869,87850,1720,2049,1012,193,1645,중구,711,11599,100160,인천,156,8209,2609,344,77277,78633,386,733
163135,152,202606,200324,1486045,27002,9617,223833,1357,5374,계,4514,272495,1763054,인천,1172,35832,35630,1833,1291817,1517483,4091,7456
26167,29,202606,34307,205821,3815,1782,4257,197,948,광산구,618,13548,219987,광주,140,7943,4355,252,175034,179543,805,400
8421,11,202606,9534,94444,1696,443,859,87,173,남구,239,2475,97158,광주,50,1026,2163,91,84068,85018,259,417
4023,10,202606,4529,47477,834,212,415,100,78,동구,258,1024,48759,광주,54,406,1013,94,42496,43005,124,125
22263,18,202606,26126,201341,3448,1178,4054,220,522,북구,657,9216,211214,광주,196,3643,4641,223,174992,179269,638,997
14635,22,202606,16600,146247,2709,673,3722,228,215,서구,706,6010,152963,광주,150,1737,3195,306,128467,132495,436,336
75509,90,202606,91096,695330,12502,4288,13307,832,1936,계,2478,32273,730081,광주,590,14755,15367,966,605057,619330,2262,2275
