stat_month,region_level,sido_name,sigungu_name,vehicle_type,use_type,registration_count,unit,source_measure_key,source_form_id,source_row_no,is_aggregate
202604,시군구,서울,송파구,passenger,official,130,대,승용>관용,5498,18,0
202604,시군구,서울,송파구,passenger,private,207857,대,승용>자가용,5498,18,0
202604,시군구,서울,송파구,passenger,total,215818,대,승용>계,5498,18,1
202604,시군구,서울,송파구,special,private,429,대,특수>자가용,5498,18,0
202604,시군구,서울,송파구,van,business,1562,대,승합>영업용,5498,18,0
202604,시군구,서울,양천구,truck,private,10444,대,화물>자가용,5498,19,0
202604,시군구,서울,양천구,special,official,7,대,특수>관용,5498,19,0
202604,시군구,서울,양천구,truck,total,13366,대,화물>계,5498,19,1
202604,시군구,서울,양천구,total,private,139316,대,총계>자가용,5498,19,1
202604,시군구,서울,양천구,van,private,2702,대,승합>자가용,5498,19,0
202604,시군구,서울,양천구,special,total,701,대,특수>계,5498,19,1
202604,시군구,서울,양천구,passenger,business,4858,대,승용>영업용,5498,19,0
202604,시군구,서울,양천구,truck,official,144,대,화물>관용,5498,19,0
202604,시군구,서울,양천구,special,business,422,대,특수>영업용,5498,19,0
202604,시군구,서울,양천구,total,official,342,대,총계>관용,5498,19,1
202604,시군구,서울,양천구,total,business,8797,대,총계>영업용,5498,19,1
202604,시군구,서울,양천구,total,total,148455,대,총계>계,5498,19,1
